22.600	0.045	-0.076	-0.003	0.851	-0.072
22.700	-0.018	-0.083	0.002	0.852	-0.072
22.800	-0.018	-0.086	0.002	0.850	-0.072
22.900	0.045	-0.083	-0.004	0.852	-0.072
23.000	0.108	-0.086	-0.009	0.859	-0.072
23.100	0.108	-0.083	-0.009	0.870	-0.073
23.200	0.108	-0.079	-0.009	0.881	-0.074
23.300	-0.018	-0.073	0.001	0.885	-0.075
23.400	0.045	-0.083	-0.004	0.887	-0.075
23.500	0.108	-0.076	-0.008	0.894	-0.075
23.600	0.045	-0.083	-0.004	0.902	-0.076
23.700	-0.082	-0.083	0.007	0.900	-0.076
23.800	10.089	0.553	5.579	1.401	0.204
23.900	10.089	0.578	5.834	2.409	0.774
24.000	10.089	0.610	6.153	3.418	1.374
24.100	10.089	0.635	6.408	4.427	2.002
24.200	10.025	0.660	6.621	5.433	2.653
24.300	10.025	0.686	6.875	6.435	3.328
24.400	9.962	0.711	7.084	7.435	4.026
24.500	10.089	0.727	7.333	8.437	4.747
24.600	10.089	0.752	7.588	9.446	5.493
24.700	10.025	0.774	7.763	10.452	6.260
24.800	10.089	0.803	8.098	11.458	7.053
24.900	10.278	0.831	8.543	12.476	7.885
25.000	10.089	0.853	8.609	13.494	8.743
25.100	10.089	0.879	8.864	14.503	9.617
25.200	10.089	0.898	9.055	15.512	10.513
25.300	10.152	0.926	9.401	16.524	11.435
25.400	10.089	0.954	9.630	17.536	12.387
25.500	10.152	0.973	9.882	18.548	13.362
25.600	10.089	0.996	10.044	19.560	14.359
25.700	10.152	1.021	10.364	20.572	15.379
25.800	10.152	1.049	10.653	21.587	16.430
25.900	10.278	1.068	10.980	22.609	17.512
26.000	10.089	1.100	11.097	23.627	18.616
26.100	10.152	1.119	11.359	24.639	19.738
26.200	10.152	1.151	11.680	25.654	20.890
26.300	10.152	1.173	11.905	26.670	22.069
26.400	10.215	1.195	12.205	27.688	23.275
26.500	10.025	1.217	12.200	28.700	24.495
26.600	10.089	1.239	12.500	29.706	25.730
26.700	10.025	1.261	12.644	30.711	26.987
26.800	10.152	1.290	13.092	31.720	28.274
